user_id,status_id,created_at,screen_name,text,التصنيف,التفصيل,sentiment
1234634126306795525,1311341904689270786,2020-09-30 16:27:28 UTC,xv7ia,@PPA_Care @Y06bE @PensionSA @ISSACOMM ردوا خاص,طلب على الخاص,,negative
1150314217758699523,1311246498248654849,2020-09-30 10:08:21 UTC,omd1012,"@PensionSA @PPA_Care السلام عليكم 
ماهي طريقة التقديم على معاش التقاعد لابناء المتوفي ؟ 
او اضافة حساب بنكي",مستفيد,,neutral
1298519245375012864,1310885073231777793,2020-09-29 10:12:11 UTC,H_AlDarweesh1,@PPA_Care السلام عليكم، يرجى منكم الرد على الخاص.,طلب على الخاص,,negative
1298519245375012864,1310481427234988032,2020-09-28 07:28:14 UTC,H_AlDarweesh1,@PPA_Care السلام عليكم، أرسلت لكم المستندات المطلوبة قبل أسبوعين تقريباً على بريد المؤسسة لإضافة مستفيدين من المعاش التقاعدي لوالدي المتوفي رحمه الله وإلى الآن لم يصلني رد بهذا الخصوص؟ وش المشكلة؟,مستفيد,,negative
1298519245375012864,1310915208366436352,2020-09-29 12:11:55 UTC,H_AlDarweesh1,@PPA_Care تم الرد، يرجى الإفادة,طلب على الخاص,,
1062211619709767681,1310849762288111616,2020-09-29 07:51:52 UTC,alraqitelecom,"@PensionSA
سمعنا ان فيه بدل اعاشة اضافية للمتقاعدين اعوام ١٤٣٣ و ١٤٣٤ بواقع ٩٠٠٠ريال مرة واحدة.
هل هذا صحيح؟
وهل تشمل من صدر بحقه فصل من الوظيفه وليس تقاعد
ارجو الرد وشكرا مقدما 🌹",متقاعد,,neutral
1062211619709767681,1311011686531428355,2020-09-29 18:35:18 UTC,alraqitelecom,@PPA_Care @PensionSA هذي الرسالة 👇 https://t.co/hPetxbftjd,متقاعد,,neutral
2482658103,1310924761208422400,2020-09-29 12:49:53 UTC,sindbad_asa,@PensionSA @PPA_Care مساء الخير ابي كشف بالحساب الراتب كيف الطريقه,متقاعد,,neutral
1310937332468584451,1310939865693945857,2020-09-29 13:49:54 UTC,CehLdqnhyb0yaMh,@PPA_Care السلام عليكم انا متقاعد جديد لم ينزل تقاعدي,متقاعد,,neutral
3952723761,1311189047231029248,2020-09-30 06:20:04 UTC,nadon1979,"@PPA_Care السلام عليكم 
احتاج الايميل الرسمي للمؤسسة لارسال المستندات",متقاعد,,neutral
3952723761,1311230366603243520,2020-09-30 09:04:15 UTC,nadon1979,@PPA_Care تم,طلب على الخاص,,positive
998260669,1311264823129321473,2020-09-30 11:21:10 UTC,semo0o007,@PPA_Care @PensionSA تم تفعيل الرسايل,طلب على الخاص,,positive
998260669,1311156589110452224,2020-09-30 04:11:05 UTC,semo0o007,@PensionSA كيف انا مستفيده ومستمر في الصرف وما ينزل  لي ولا ريال وكمان جيت اسوي موعد عمل لي موعد في الرياض وانا في جيزان,مستفيد,,neutral
1238851955793039360,1311132474932703239,2020-09-30 02:35:16 UTC,zz2nm7,@PensionSA @PPA_Care تقاعدة بتقرير طبعي بمرض نفسي لي سنتين والحين الحمدلله اموري طيبه ووقفت العلاج عمري 35 سنه ابي ارجع اقدر ارجع عسكري,متقاعد,,neutral
1118926384372563969,1311250806210023425,2020-09-30 10:25:28 UTC,ZYADMAHBOOB,@PPA_Care هل بمكاني تحديث بيانات مستفيدين أبناء متوفي بدون زيارة فرع مؤسسة؟,مستفيد,,neutral
247185517,1310641018438549513,2020-09-28 18:02:23 UTC,Swantears,@PensionSAهل تستحق البنت المستقله ومطلقه الاخذ من راتب المتوفى وهي تتقاضى راتب تقاعدي ثلاث اضعاف راتب المتوفى  علما ان المتوفى كان يعول زوجه وبنتان لا تعملان قبل وفاته  ارجو الافاده,مستفيد,,neutral
966872644984303617,1310880400881913856,2020-09-29 09:53:37 UTC,am_kn7,@PensionSA @PPA_Care الشهر هذا ما نزلي ليش ؟,طلب على الخاص,,negative
